uri_slug,pref_label,alt_labels,hidden_labels,definition,broader_slug,related_slugs,scope_note,example
automation-response-time,Automation Response Time,ART|Response Speed|Automation Latency|Trigger-to-Action Time|Automation Delay,,"The average duration between triggering event and automated response execution, measured in seconds or minutes, indicating system speed and responsiveness of automated processes.",marketing-seo,,Source: marketing-terms-glossary.md,
average-booking-value,Average Booking Value,ABV|Mean Booking Value|Booking Value Average|Average Appointment Value|Mean Schedule Value,,"The mean monetary value or potential revenue associated with scheduled appointments, calculated by dividing total booking value by number of appointments, when applicable to business model.",marketing-seo,,Source: marketing-terms-glossary.md,
average-daily-rate,Average Daily Rate,ADR|Daily Revenue Rate,,A key performance metric in hospitality and some residential property sectors that measures the average rental income generated per occupied unit per day.,strategy-planning,,Source: retail-property-glossary.md,
average-deal-size,Average Deal Size,ADS|Mean Deal Size|Average Sale Size|Average Deal Value|Typical Deal Size,,"The mean monetary value of closed sales opportunities, calculated by dividing total closed revenue by number of closed deals, indicating typical transaction magnitude.",marketing-seo,,Source: marketing-terms-glossary.md,
average-lead-score,Average Lead Score,ALS|Mean Lead Score|Lead Score Average|Lead Quality Score|Average Score,,"The mean numerical value assigned to leads based on predefined scoring criteria such as engagement level, demographic fit, and behavioral indicators, used to prioritize follow-up activities.",marketing-seo,,Source: marketing-terms-glossary.md,
average-position-improvement,Average Position Improvement,API|Position Gain|Ranking Improvement|Position Change|Ranking Progress,,"The change in mean ranking position for tracked keywords over a specified time period, typically measured as numerical movement toward position one, indicating SEO campaign effectiveness.",marketing-seo,,Source: marketing-terms-glossary.md,
average-rating,Average Rating,AR|Mean Rating|Star Rating Average|Average Star Rating|Overall Rating,,"The mean star rating across all customer reviews, typically on a five-point scale, indicating overall customer satisfaction and service quality perception for local search visibility.",marketing-seo,,Source: marketing-terms-glossary.md,
average-time-saved-per-lead,Average Time Saved Per Lead,ATSPL|Time Savings Per Lead|Lead Processing Efficiency|Automation Time Savings|Per-Lead Efficiency Gain,,"The mean reduction in manual processing time achieved through automation for each lead, calculated by comparing automated process duration to previous manual process duration, measured in minutes.",operations,,Source: marketing-terms-glossary.md,
average-touches-before-conversion,Average Touches Before Conversion,ATBC|Touches to Conversion|Average Contacts|Contact Points to Conversion|Interaction Count,,The mean number of contact attempts or interactions required before a lead completes a desired conversion action such as booking an appointment or making a purchase.,marketing-seo,,Source: marketing-terms-glossary.md,
average-transaction-value,Average Transaction Value,ATV|AOV|Average Order Value|Mean Transaction Size|Average Deal Size|Mean Sale Value,,"The mean monetary value of individual sales transactions or purchases, calculated by dividing total revenue by number of transactions, indicating typical deal size.",marketing-seo,,Source: marketing-terms-glossary.md,
backend,Backend,Server-Side|Back-End|Server Side|Data Layer,,"The server-side part of a software application that handles data processing, database interactions, and business logic, not directly visible to users.",software-development,,Source: software-dev-glossary.md,
background-check,Background Check,Criminal Background Check|Tenant Verification|Personal History Check,,"A comprehensive review of a prospective tenant's criminal history, employment verification, and other relevant personal information to assess their suitability as a renter.",property-management,,Source: retail-property-glossary.md,
backlinks,Backlinks,Inbound links|Incoming links|External links|Link backs,,"Links from external websites pointing to your website, serving as ""votes of confidence"" that help search engines determine your site's authority and credibility.",marketing-seo,,Source: seo-glossary.md,
backlog,Backlog,Product Backlog|Sprint Backlog|Task List,,"An ordered list of work to be done, typically features, bug fixes, or technical tasks.",strategy-planning,,Source: product-management-glossary.md,
backup,Backup,Data Backup|System Backup|Data Copy|Archive,,"The process of creating copies of data to protect against data loss, corruption, or system failures, ensuring data recovery capabilities.",data-management,,Source: data-management-glossary.md,
base-rent,Base Rent,Minimum Rent|Fixed Minimum Rent|Base Minimum Rent|Fixed Rent|Basic Rent|Primary Rent,,"The minimum fixed rent amount a tenant pays to occupy commercial space, typically expressed as a dollar amount per square foot annually or monthly. Base rent does not include additional charges such as operating expenses, taxes, or percentage rent, and serves as the foundation rental payment before any additional costs are applied.",leasing-tenancy,,Source: retail-property-glossary.md,
batch-processing,Batch Processing,Batch Job|Batch Operation|Bulk Processing|Group Processing,,A data processing method where large volumes of data are collected and processed together in groups at scheduled intervals rather than individually.,data-management,,Source: data-management-glossary.md,
beta-testing,Beta Testing,User Acceptance Testing (UAT),,A phase of testing where a product is released to a limited audience outside the company prior to general release.,software-development,,Source: product-management-glossary.md,
bias,Bias,AI Bias|Algorithmic Bias|Prejudice|Discrimination,,"Systematic errors or unfairness in AI systems that can result from flawed training data, algorithms, or design choices, leading to discriminatory or inaccurate outcomes.",ai-machine-learning,,Source: ai-glossary.md,
big-data,Big Data,Large-Scale Data|Massive Data|Large Dataset|Complex Data,,"Extremely large and complex datasets that require specialized tools and techniques for storage, processing, and analysis due to their volume, velocity, and variety.",data-management,,Source: data-management-glossary.md,
bofu,BOFU,Bottom of Funnel|Decision Stage|Conversion Stage|Sales-Ready Stage,,"The decision stage where qualified prospects are ready to make a purchase decision. Marketing provides sales enablement materials like product demos, testimonials, pricing information, and ROI calculators to facilitate conversion.",marketing-seo,,Source: marketing-terms-glossary.md,
booking-to-show-rate,Booking-to-Show Rate,BTSR|BSR|Show Rate|Attendance Rate|Appointment Attendance Rate|Show-Up Rate,,"The percentage of scheduled appointments where the prospect or client actually attends, calculated by dividing completed appointments by total scheduled appointments and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
bounce-rate,Bounce Rate,BR|Exit Rate|Single-Page Rate|Immediate Exit Rate|One-Page Session Rate|Single-page session rate|Exit rate (single page),,"The percentage of single-page sessions where visitors leave the website without interacting or viewing additional pages, calculated for organic traffic to assess landing page relevance and user experience.",marketing-seo,,"Source: marketing-terms-glossary.md, seo-glossary.md",
brand-voice,Brand Voice,Brand personality|Brand tone|Brand identity|Corporate voice,,"The consistent expression of a company's personality, values, and messaging style across all communication channels, creating recognizable identity and customer connection.",marketing-seo,,Source: business-plan-glossary.md,
breakpoint,Breakpoint,Natural Breakpoint|Artificial Breakpoint|Sales Threshold|Percentage Rent Trigger,,"In percentage rent lease structures, the sales threshold at which tenants begin paying additional rent based on a percentage of gross sales above this amount. Breakpoints can be natural (calculated by dividing base rent by percentage rate) or artificial (negotiated amount), and if never met, the tenant pays only the minimum base rent.",leasing-tenancy,,Source: retail-property-glossary.md,
bug,Bug,Software Bug|Code Bug|Error|Defect|Issue,,"An error, flaw, or fault in software code that causes it to produce incorrect or unexpected results or behave in unintended ways.",software-development,,Source: software-dev-glossary.md,
build-measure-learn-loop,Build-Measure-Learn Loop,Build-Measure-Learn Cycle,,"A feedback loop where startups build a minimum viable product, measure customer response, and learn to iterate or pivot accordingly.",operations,,Source: lean-startup-glossary.md,
building-codes,Building Codes,Construction Codes|Safety Codes|Building Regulations|Construction Standards,,"Local government regulations that establish minimum standards for construction, design, and safety requirements for buildings to protect public health and safety.",strategy-planning,,Source: retail-property-glossary.md,
burn-rate,Burn Rate,,,The rate at which a startup spends its capital to cover expenses before becoming profitable.,strategy-planning,,Source: lean-startup-glossary.md,
business-intelligence,Business Intelligence,BI|Business Analytics|Strategic Analytics,,The practice of analyzing and transforming data to extract valuable business insights that enable informed decision-making and strategic planning.,data-management,,Source: data-management-glossary.md,
business-logic-layer,Business Logic Layer,BLL|Business Logic Tier|Domain Layer|Business Rules Engine,,"The core functional components of a service that contain the rules, calculations, and data processing specific to business requirements.",service-design,,Source: service-as-product-glossary.md,
business-model,Business Model,Operating model|Revenue model|Business framework|Commercial model,,"The conceptual structure supporting the viability of a business, including its purpose, offerings, strategies, infrastructure, organizational structures, and revenue streams.",strategy-planning,,Source: business-plan-glossary.md,
business-model-canvas,Business Model Canvas,BMC|BMC|Business Model Framework,,"A strategic management template used to describe, design, and pivot a startup’s business model in nine key areas.",strategy-planning,,Source: lean-startup-glossary.md,
buyer-persona,Buyer Persona,Customer Persona|User Persona,,A semi-fictional representation of an ideal customer based on market research and real data about existing customers.,marketing-seo,,Source: product-management-glossary.md,
caching,Caching,Data Caching|Memory Caching|Temporary Storage|Fast Storage|Performance Optimization,,A technique for storing frequently accessed data in high-speed storage locations to improve system performance and reduce data retrieval times.,operations,,"Source: data-management-glossary.md, software-dev-glossary.md",
cagr,CAGR,Compound Annual Growth Rate|Compound growth rate|Annualized growth rate,,"The annualized rate of return for an investment or market over a specified period longer than one year, smoothing out volatility to show steady growth rate.",strategy-planning,,Source: business-plan-glossary.md,
calendar-utilization-rate,Calendar Utilization Rate,CUR|Schedule Fill Rate|Booking Utilization|Calendar Fill Rate|Slot Utilization Rate,,"The percentage of available appointment slots that are successfully booked, calculated by dividing booked slots by total available slots and multiplying by 100, indicating scheduling efficiency.",marketing-seo,,Source: marketing-terms-glossary.md,
cam-charges,CAM Charges,CAM|Common Area Maintenance|Common Area Charges|Shared Area Costs|Maintenance Charges,,"Common Area Maintenance charges are fees tenants pay for their proportionate share of maintaining and operating shared spaces in a commercial property. CAM charges typically cover expenses for parking lots, sidewalks, landscaping, janitorial services, security, snow removal, and general upkeep of areas used by all tenants.",property-management,,Source: retail-property-glossary.md,
cancellation-rate,Cancellation Rate,CR|Appointment Cancellation Rate|Cancel Rate|Cancellation Percentage|Appointment Loss Rate,,"The percentage of scheduled appointments that are cancelled by either party before the scheduled time, calculated by dividing cancellations by total appointments and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
canonical-url,Canonical URL,Canonical tag|Canonical link|Preferred URL|Master URL,,"The preferred version of a webpage when multiple URLs contain identical or similar content, helping prevent duplicate content issues and consolidating ranking signals.",marketing-seo,,Source: seo-glossary.md,
cap-rate,Cap Rate,Capitalization Rate|Return Rate|Yield Rate,,"A fundamental real estate metric that measures the rate of return on a property investment, calculated by dividing net operating income by the property's current market value.",strategy-planning,,Source: retail-property-glossary.md,
capital-expenditures,Capital Expenditures,CapEx|Capital Improvements|Capital Investments|Major Repairs|Property Upgrades,,"Major property improvements or replacements that extend the useful life of a property or increase its value, typically involving significant costs that are capitalized rather than expensed.",strategy-planning,,Source: retail-property-glossary.md,
cash-on-cash-return,Cash-on-Cash Return,CoC|CCR|Cash Yield|Cash Return|Equity Return,,"An investment metric that measures the annual pre-tax cash flow earned on the cash invested in a property, expressed as a percentage of the initial cash investment.",strategy-planning,,Source: retail-property-glossary.md,
certificate-of-occupancy,Certificate of Occupancy,CO|C of O|Occupancy Certificate|Occupancy Permit|Use Permit,,An official document issued by local government authorities certifying that a building complies with applicable building codes and is safe for occupancy.,strategy-planning,,Source: retail-property-glossary.md,
chatbot,Chatbot,Conversational AI|Virtual Assistant|Chat Agent|Conversational Bot,,"A software application that uses AI and natural language processing to simulate human conversation through text or voice interactions, typically used for customer service and support.",ai-machine-learning,,Source: ai-glossary.md,
checklist,Checklist,,,"A simple list of items, tasks, or criteria to be verified, completed, or considered to ensure nothing is overlooked.",operations,,Source: process-management-glossary.md,
choosing-the-right-document-type,Choosing the Right Document Type,,,,operations,,Source: process-management-glossary.md,
churn-rate,Churn Rate,CR|Customer Churn|Attrition Rate|Customer Loss Rate|Cancellation Rate,,"The percentage of customers who discontinue service or cease purchasing within a specified time period, calculated by dividing lost customers by total customers at period start and multiplying by 100.",marketing-seo,,"Source: marketing-terms-glossary.md, product-management-glossary.md",
ci-cd,CI/CD,Continuous Integration/Continuous Deployment|Continuous Integration/Continuous Deployment|Continuous Delivery|Automated Pipeline,,A development practice that involves automated integration of code changes and automated deployment to production environments for faster and more reliable software delivery.,platform-services,,Source: software-dev-glossary.md,
classification,Classification,Data Classification|Pattern Classification|Categorization|Prediction|Information Classification|Grouping,,"The process of organizing data into categories or classes based on characteristics, sensitivity levels, or business requirements for proper management and protection.",data-management,,"Source: ai-glossary.md, data-management-glossary.md",
click-through-rate,Click-Through Rate,CTR|Ad Click Rate|Impression Click Rate|Click Rate|Ad Engagement Rate|Organic CTR|Search CTR,,"The percentage of ad impressions that result in clicks, calculated by dividing total clicks by total impressions and multiplying by 100, measuring ad creative effectiveness and relevance.",marketing-seo,,"Source: marketing-terms-glossary.md, seo-glossary.md",
client-onboarding,Client Onboarding,Onboarding|Client Setup|Client Activation|New Client Setup,,"The complete client journey from signed contract to go-live, typically spanning 14 business days. Includes all phases: account setup, platform configuration, training, and launch. This is the umbrella term for the entire process of bringing a new client onto the Symphony Core platform.",operations,,Source: sc-approved-terminology.md,
cloud-computing,Cloud Computing,Cloud Services|Cloud Infrastructure|Internet Computing|Distributed Computing|Remote Computing,,"The delivery of computing services including servers, storage, databases, and AI capabilities over the internet, enabling scalable and flexible access to resources.",software-development,,"Source: ai-glossary.md, software-dev-glossary.md",
cloud-storage,Cloud Storage,Cloud Data Storage|Remote Storage|Internet Storage|Remote Repository,,"A service that provides remote data storage accessible over the internet, offering scalability, flexibility, and cost-effectiveness for data management.",data-management,,Source: data-management-glossary.md,
co-tenancy-clause,Co-Tenancy Clause,Co-Tenancy Provision|Opening Co-Tenancy|Operating Co-Tenancy|Occupancy Protection Clause|Tenant Protection Provision|Anchor Tenant Clause|Key Tenant Clause,,"A lease provision that protects tenants by linking their lease obligations to the occupancy status of key anchor tenants or overall occupancy levels within a shopping center. If specified conditions are not met, such as anchor tenant closure or occupancy dropping below a threshold, tenants may receive rent reductions, lease suspension, or termination rights.",leasing-tenancy,,Source: retail-property-glossary.md,
common-area,Common Area,Shared Areas|Public Areas|Shared Space|Public Space|Common Areas|Shared Spaces|Shared Facilities,,"Shared spaces within a commercial property that are used by all tenants and their customers, including lobbies, hallways, restrooms, parking lots, sidewalks, and landscaped areas. Common areas are maintained through CAM charges and are factored into rentable square footage calculations for determining tenant rent allocations.",property-management,,Source: retail-property-glossary.md,
common-area-maintenance,Common Area Maintenance,CAM|Common Area Maintenance Charges|Shared Area Expenses|Common Charges,,"Operating expenses for maintaining, repairing, and managing shared areas of a commercial property, typically allocated among tenants based on their proportionate share of the building.",leasing-tenancy,,Source: retail-property-glossary.md,
comparative-market-analysis,Comparative Market Analysis,CMA|Market Analysis|Comparable Sales Analysis|Market Comparison|Property Comparison,,"A detailed evaluation of similar properties that have recently sold, are currently for sale, or were withdrawn from the market to determine the fair market value of a subject property.",valuation-finance,,Source: retail-property-glossary.md,
competitive-advantage,Competitive Advantage,Strategic advantage|Market advantage|Business edge,,A condition or circumstance that puts a company in a favorable or superior business position relative to its competitors in the marketplace.,strategy-planning,,Source: business-plan-glossary.md,
compliance,Compliance,Regulatory Compliance|Data Compliance|Adherence|Conformance,,"The adherence to laws, regulations, standards, and policies governing data handling, privacy, and security within an organization.",operations,,Source: data-management-glossary.md,
compression,Compression,Data Compression|File Compression|Data Reduction|Size Optimization,,The process of reducing data size through encoding techniques to save storage space and improve transmission efficiency while maintaining data integrity.,operations,,Source: data-management-glossary.md,
computer-vision,Computer Vision,CV|Machine Vision|Visual AI|Image Recognition|Visual Processing,,"A field of AI that enables computers to interpret, process, and understand visual information from images, videos, and other visual inputs.",ai-machine-learning,,Source: ai-glossary.md,
conceptual-hierarchy,Conceptual Hierarchy,Top to Bottom,,,operations,,Source: process-management-glossary.md,
condominium,Condominium,Condo|Condominium Unit|Condo Unit|Strata Unit,,A type of property ownership where individuals own their specific unit while sharing ownership of common areas and facilities with other unit owners in the same building or development.,property-management,,Source: retail-property-glossary.md,
contact-engagement-score,Contact Engagement Score,CES|Engagement Score|Contact Quality Score|Interaction Score|Engagement Index,,"A composite numerical value assigned to each contact based on interaction history, communication responsiveness, and behavioral indicators, used to prioritize outreach and segment audiences.",data-management,,Source: marketing-terms-glossary.md,
contact-rate,Contact Rate,CR|Connection Rate|Reach Rate|Success Rate|Contact Success Percentage,,"The percentage of communication attempts that result in successful connection with the lead or prospect, calculated by dividing successful contacts by total contact attempts and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
container,Container,Software Container|Application Container|Package|Virtualization Unit,,"A lightweight, portable software package that includes an application and all its dependencies, enabling consistent execution across different computing environments.",platform-services,,Source: software-dev-glossary.md,
content-clusters,Content Clusters,Topic clusters|Content hubs|Pillar content strategy,,"A content organization strategy grouping related content around a central pillar page, with supporting content linking back to establish topical authority.",marketing-seo,,Source: seo-glossary.md,
content-freshness,Content Freshness,Fresh content|Updated content|Content recency,,"The recency and up-to-dateness of content, influencing search rankings for time-sensitive queries through Google's Query Deserves Freshness algorithm.",marketing-seo,,Source: seo-glossary.md,
content-pruning,Content Pruning,Content audit and removal|Content consolidation,,"The strategic process of removing, updating, or consolidating low-performing, outdated, or duplicate content to improve overall site quality and focus crawl budget.",marketing-seo,,Source: seo-glossary.md,
content-ranking-pages,Content Ranking Pages,CRP|Ranking Page Count|Indexed Ranking Pages|Pages With Rankings|Ranking Content Count,,"The total count of unique website pages that appear in search engine results for tracked keywords, indicating content breadth and SEO coverage across the website.",marketing-seo,,Source: marketing-terms-glossary.md,
continuous-integration,Continuous Integration,CI|Automated Integration|Code Integration,,"A development practice where developers frequently integrate code changes into a shared repository, with automated builds and tests to detect issues early.",platform-services,,Source: software-dev-glossary.md,
contract-signed,Contract Signed,,,The initial stage where a prospect becomes a customer by executing a signed contract and confirming payment. Sales-to-implementation handoff occurs at this stage.,service-design,,Source: marketing-terms-glossary.md,
conversation-to-appointment-rate,Conversation-to-Appointment Rate,CTAR|C2A|Chat-to-Appointment Rate|Conversation Conversion|Discussion-to-Booking Rate|Conversation Success Rate,,"The percentage of initiated conversations or communication threads that result in a scheduled appointment, calculated by dividing appointments booked by total conversations and multiplying by 100.",marketing-seo,,Source: marketing-terms-glossary.md,
conversational-ai,Conversational AI,Dialogue AI|Conversational Interface|Dialogue System|Interactive AI,,"AI technology that enables natural, human-like dialogue through voice or text, combining speech recognition, natural language processing, and response generation.",ai-machine-learning,,Source: ai-glossary.md,
conversion,Conversion,,,"The action of a contact moving to the next desired stage in the customer journey. **Important**: ""Conversion"" has different meanings at different stages.",operations,,Source: marketing-terms-glossary.md,
core-competencies,Core Competencies,Key capabilities|Strategic capabilities|Essential skills|Primary strengths,,"The fundamental knowledge, ability, or expertise in a specific subject area or skill set that gives a company competitive advantage in the marketplace.",strategy-planning,,Source: business-plan-glossary.md,
core-updates,Core Updates,Google Core Updates|Algorithm updates|Major algorithm changes,,"Google's broad algorithmic changes occurring several times yearly to improve search result quality, with 2024 including four major releases.",ai-machine-learning,,Source: seo-glossary.md,
cost-approach,Cost Approach,Replacement Cost Method|Cost Method|Replacement Approach,,"A property valuation method that estimates value based on the cost to replace or reproduce the building, minus depreciation, plus the value of the land.",valuation-finance,,Source: retail-property-glossary.md,
cost-per-acquisition,Cost Per Acquisition,CPA|Acquisition Cost|Conversion Cost|Cost Per Conversion|Customer Cost From Ads,,"The average advertising spend required to acquire a single customer or conversion through paid channels, calculated by dividing total ad spend by number of conversions.",marketing-seo,,Source: marketing-terms-glossary.md,
cost-per-click,Cost Per Click,CPC|Click Cost|Average CPC|Pay Per Click Cost|Click Price,,"The average amount paid for each click on a paid advertisement, calculated by dividing total ad spend by total clicks, measuring advertising cost efficiency.",marketing-seo,,Source: marketing-terms-glossary.md,
cost-per-customer-by-channel,Cost Per Customer By Channel,CPCBC|Channel Acquisition Cost|Per-Channel Customer Cost|Channel CPA|Acquisition Cost By Source,,"The average acquisition spend required to gain a customer through each specific marketing channel, calculated by dividing channel spend by channel-attributed customers, enabling channel comparison.",marketing-seo,,Source: marketing-terms-glossary.md,
cost-per-lead,Cost Per Lead,CPL|Lead Cost|Average Lead Cost|Lead Acquisition Cost|Marketing Cost Per Lead,,"The average marketing expenditure required to generate a single qualified lead, calculated by dividing total marketing spend by the number of leads captured during the same period.",marketing-seo,,Source: marketing-terms-glossary.md,
crawling,Crawling,Web crawling|Spider crawling|Bot crawling|Spidering,,The process by which search engine bots systematically browse and discover web pages across the internet to gather information for indexing.,marketing-seo,,Source: seo-glossary.md,
credit-check,Credit Check,Credit Report Review|Credit Screening|Credit Verification|Financial Check,,A review of a prospective tenant's credit history and score to assess their financial responsibility and ability to pay rent on time.,property-management,,Source: retail-property-glossary.md,
customer-acquisition-cost,Customer Acquisition Cost,CAC|Cost per acquisition|Acquisition cost|Customer cost|Cost of Customer Acquisition|Cost Per Customer|Cost to Acquire,,"The total marketing and sales expenditure required to acquire a single new customer, calculated by dividing total acquisition costs by number of new customers gained during the same period.",marketing-seo,,"Source: business-plan-glossary.md, lean-startup-glossary.md, marketing-terms-glossary.md",
customer-client,Customer / Client,,,A contact who has purchased your product or service. Active paying customer with signed contract or completed transaction.,marketing-seo,,Source: marketing-terms-glossary.md,
customer-demographics,Customer Demographics,Shopper Demographics|Consumer Profile|Customer Profile|Market Demographics,,"Statistical data about the characteristics of customers who visit or shop at a retail property, including age, income, lifestyle, and spending patterns.",property-management,,Source: retail-property-glossary.md,
customer-development,Customer Development,,,The process of understanding customer problems and needs early to develop solutions that fit the market.,operations,,Source: lean-startup-glossary.md,
customer-journey-map,Customer Journey Map,CJM|Journey Mapping,,A visual representation of the customer’s experience with a product or service across all touchpoints.,service-design,,Source: product-management-glossary.md,
