uri_slug,pref_label,source,definition_preview
iteration,Iteration,lean-startup-glossary.md,The repetition of a process aimed at refining a product or service based on feed...
iteration,Iteration,product-management-glossary.md,A timeboxed period in which product development teams deliver a working product ...
key-performance-indicator,Key Performance Indicator,lean-startup-glossary.md,A measurable value demonstrating how effectively a company achieves key objectiv...
key-performance-indicator,Key Performance Indicator,product-management-glossary.md,A measurable value that indicates how effectively a company is achieving key bus...
load-factor,Load Factor,retail-property-glossary.md,"The ratio of rentable square footage to usable square footage, representing the ..."
load-factor,Load Factor,retail-property-glossary.md,The ratio of rentable square footage to usable square footage in a commercial bu...
microservices,Microservices,ai-glossary.md,"An architectural approach that structures applications as a collection of small,..."
microservices,Microservices,software-dev-glossary.md,"An architectural approach that structures applications as a collection of small,..."
minimum-viable-product,Minimum Viable Product,lean-startup-glossary.md,The simplest version of a product that allows a team to collect the maximum amou...
minimum-viable-product,Minimum Viable Product,product-management-glossary.md,A version of a product with just enough features to validate assumptions and gat...
modified-gross-lease,Modified Gross Lease,retail-property-glossary.md,"A lease structure where landlords and tenants share certain operating expenses, ..."
modified-gross-lease,Modified Gross Lease,retail-property-glossary.md,"A lease structure where the tenant pays base rent plus some operating expenses, ..."
net-promoter-score,Net Promoter Score,business-plan-glossary.md,A management tool that measures customer loyalty and satisfaction by asking cust...
net-promoter-score,Net Promoter Score,lean-startup-glossary.md,A metric measuring customer satisfaction and loyalty based on how likely custome...
net-promoter-score,Net Promoter Score,marketing-terms-glossary.md,A customer loyalty metric measuring likelihood of customers recommending the bus...
net-promoter-score,Net Promoter Score,product-management-glossary.md,An index measuring customer willingness to recommend a product or service.
occupancy-rate,Occupancy Rate,retail-property-glossary.md,The percentage of total leasable space in a property that is currently occupied ...
occupancy-rate,Occupancy Rate,retail-property-glossary.md,The percentage of available rental units that are currently occupied by paying t...
optimization,Optimization,ai-glossary.md,"The process of improving AI model performance, efficiency, or resource usage thr..."
optimization,Optimization,marketing-terms-glossary.md,The ongoing enhancement stage where clients refine and improve system performanc...
percentage-rent,Percentage Rent,retail-property-glossary.md,Additional rent paid beyond base rent based on a percentage of tenant gross sale...
percentage-rent,Percentage Rent,retail-property-glossary.md,A rental structure where tenants pay additional rent based on a percentage of th...
rentable-square-footage,Rentable Square Footage,retail-property-glossary.md,"The total area for which tenants pay rent, including both usable space and a pro..."
rentable-square-footage,Rentable Square Footage,retail-property-glossary.md,"The total area in a commercial building for which rent can be charged, including..."
scalability,Scalability,business-plan-glossary.md,"The capacity of a business model, system, or process to handle growing amounts o..."
scalability,Scalability,lean-startup-glossary.md,The capability of a business to grow rapidly without equally increasing costs.
scalability,Scalability,software-dev-glossary.md,"The ability of a software system to handle increased workload, user demand, or d..."
scrum,Scrum,product-management-glossary.md,"An Agile framework for iterative project management using roles, events, and art..."
scrum,Scrum,software-dev-glossary.md,An agile framework for managing software development projects that organizes wor...
setup,Setup,marketing-terms-glossary.md,"The technical stage where the client's sub-account is created, industry base sna..."
setup,Setup,sc-approved-terminology.md,Initial one-time configurations performed at the start of implementation. Setup ...
sql,SQL,data-management-glossary.md,A standardized programming language designed for managing and manipulating relat...
sql,SQL,marketing-terms-glossary.md,"An MQL that sales has reviewed, contacted, and confirmed as a good fit worth act..."
sql,SQL,software-dev-glossary.md,A standardized programming language designed for managing and manipulating relat...
standard-operating-procedure,Standard Operating Procedure,business-plan-glossary.md,A set of step-by-step instructions compiled to help workers carry out routine op...
standard-operating-procedure,Standard Operating Procedure,process-management-glossary.md,"A detailed, step-by-step instruction document that specifies exactly how to perf..."
subscription-model,Subscription Model,business-plan-glossary.md,A business model where customers pay a recurring price at regular intervals for ...
subscription-model,Subscription Model,service-as-product-glossary.md,A business model where customers pay recurring fees to access services or produc...
tenant-mix,Tenant Mix,retail-property-glossary.md,The strategic combination and arrangement of different types of retailers and se...
tenant-mix,Tenant Mix,retail-property-glossary.md,The strategic combination of different types of businesses and retailers within ...
triple-net-lease,Triple Net Lease,retail-property-glossary.md,A lease structure where tenants pay base rent plus their proportionate share of ...
triple-net-lease,Triple Net Lease,retail-property-glossary.md,A lease agreement where the tenant pays base rent plus all property operating ex...
usable-square-footage,Usable Square Footage,retail-property-glossary.md,The area within leased premises that tenants can actually use for their business...
usable-square-footage,Usable Square Footage,retail-property-glossary.md,The actual interior space that a tenant can occupy and use for their business op...
user-experience,User Experience,lean-startup-glossary.md,The overall experience and satisfaction a user has when interacting with a produ...
user-experience,User Experience,software-dev-glossary.md,The overall experience and satisfaction a user has when interacting with a softw...
vacancy-rate,Vacancy Rate,retail-property-glossary.md,The percentage of total leasable space that remains unoccupied and available for...
vacancy-rate,Vacancy Rate,retail-property-glossary.md,"The percentage of available rental units that are currently unoccupied, used as ..."
value-proposition,Value Proposition,business-plan-glossary.md,A business statement that summarizes why a consumer should buy a product or use ...
value-proposition,Value Proposition,product-management-glossary.md,A statement explaining the unique benefits a product offers to customers.
version-control,Version Control,data-management-glossary.md,"A system that tracks and manages changes to data, documents, or code over time, ..."
version-control,Version Control,software-dev-glossary.md,"A system that records changes to files over time, allowing developers to track m..."
workflow,Workflow,process-management-glossary.md,"A visual or sequential representation of tasks, decisions, and handoffs that sho..."
workflow,Workflow,software-dev-glossary.md,"A defined sequence of tasks, processes, or activities that developers follow to ..."
workflow-automation,Workflow Automation,ai-glossary.md,"The use of AI and technology to automate business processes and task sequences, ..."
workflow-automation,Workflow Automation,service-as-product-glossary.md,The use of technology to automatically execute business processes and service de...
